Month_Day,2018,2019,2020,2021,2022
01-01,337485,686993,1284272,1244317,1285112
01-02,1030556,1920106,985410,1499299,805926
01-03,1030556,1598395,985410,1115398,1198180
01-04,697207,1621244,110652,213313,2054215
01-05,1464201,148152,985410,1020265,1198180
01-06,1841074,384235,60000,18988,1198180
01-07,1830587,995967,1308975,557750,1198180
01-08,1159316,665465,985410,1599498,262227
01-09,630753,301686,1073901,1941132,782974
01-10,1557073,1906228,985410,1001102,2744039
01-11,1030556,1969674,1564611,1001102,1662263
01-12,263069,389311,711530,135143,1467857
01-13,1030556,995967,1772869,470994,1198180
01-14,508842,330847,645836,107926,1198180
01-15,2354455,1319344,83479,564197,447559
01-16,1030556,661691,985410,824859,1483570
01-17,1354446,86607,780435,359376,262993
01-18,629733,628160,985410,1282300,157045
01-19,1577791,1494600,603142,1001102,1128200
01-20,142694,995967,439939,963493,1198180
01-21,1030556,1474941,1952793,158840,2101004
01-22,2527535,1467823,192738,185522,1001912
01-23,1030556,142513,1061872,1548146,1129780
01-24,1030556,27319,227081,413233,143641
01-25,1030556,1222646,985410,319128,1145817
01-26,1104338,1206472,985410,1001102,1159382
01-27,954906,995967,784544,492286,185400
01-28,1015526,825453,2632286,396486,1198180
01-29,942716,1847598,945094,1962881,153826
01-30,784595,150401,87876,493016,1643480
01-31,1030556,995967,906574,1001102,1198180
02-01,789490,1906464,985410,991597,1425002
02-02,1425029,52270,159551,54260,1741415
02-03,1496304,995967,507431,1001102,1198180
02-04,1411179,1249785,985410,1001102,1198180
02-05,1030556,995967,985410,158589,438234
02-06,329730,995967,2572838,2331196,1198180
02-07,688557,1476566,934975,977010,1843370
02-08,1030556,995967,985410,1101291,116126
02-09,1030556,312548,1268497,1001102,2471658
02-10,1088732,822724,1362825,1018816,478275
02-11,601293,132419,314981,1429343,1362634
02-12,460360,692093,985410,900457,726187
02-13,2398350,2191269,198297,211762,155059
02-14,1030556,303587,1049381,1001102,1198180
02-15,1030556,995967,985410,2408771,1652443
02-16,1093939,2517677,1070399,1001102,1949754
02-17,740732,995967,1500949,522482,1013301
02-18,523076,382618,985410,1252606,1198180
02-19,1489902,3008623,1716966,1001102,1198180
02-20,1030556,950731,985410,27739,837028
02-21,1030556,995967,796524,2229961,243382
02-22,101205,1678316,108480,1001102,2049523
02-23,1099768,995967,985410,1484415,858533
02-24,2467016,995967,470643,1001102,1128715
02-25,168321,239982,3137760,2253089,3460002
02-26,462624,1528091,985410,49365,150400
02-27,1030556,2832122,80500,63440,1931645
02-28,2634970,174908,1287027,1530044,1198180
02-29,1030556,995967,327600,1001102,1198180
03-01,1568864,30000,908411,1710320,416566
03-02,325350,184674,1692063,2318550,1198180
03-03,1030556,995967,1861632,1716547,2518352
03-04,851189,244133,985410,1001102,1198180
03-05,1030556,1455546,985410,516744,1198180
03-06,1030556,436210,985410,1001102,1307534
03-07,2081765,2330899,116658,717982,1675220
03-08,1030556,717189,985410,951038,2272944
03-09,1305558,1255571,985410,864154,392653
03-10,163942,995967,1643753,293124,2669379
03-11,115145,469899,985410,587201,1771864
03-12,510561,3456441,985410,494437,65685
03-13,2196313,350224,1229715,40683,135781
03-14,1030556,67000,985410,751293,1198180
03-15,1030556,1200668,1193342,1564704,1198180
03-16,1602161,995967,830256,1001102,1198180
03-17,1030556,76550,2627578,25192,4020098
03-18,1030556,1727729,155807,259051,1198180
03-19,1687425,2451760,32520,1001102,3059973
03-20,1655416,1080785,985410,1690959,179050
03-21,528260,995967,2705552,1001102,696148
03-22,162628,1498038,985410,2188064,1198180
03-23,1619254,1031149,794277,1001102,814368
03-24,1005079,104250,985410,1971625,1198180
03-25,598436,515081,1526106,1729813,1198180
03-26,158036,2629049,1260144,682275,1198180
03-27,2837339,39925,723123,199288,3101867
03-28,253320,2326837,985410,269973,1734929
03-29,1030556,1520655,985410,1275836,1124245
03-30,2553776,674306,12479,944108,1198180
03-31,236370,995967,109450,1001102,1045272
04-01,1030556,1092037,985410,1622925,1198180
04-02,711520,1838186,13758,516783,1372254
04-03,349977,1833010,1449469,3010,1482300
04-04,1030556,995967,505890,2721668,1198180
04-05,1281033,31072,2967374,549966,160327
04-06,1330727,2197125,985410,1001102,2018614
04-07,189976,497448,1800417,1683542,1198180
04-08,276556,995967,104170,1001102,1192210
04-09,86779,185406,207914,328894,1949806
04-10,45650,1594842,985410,917857,570090
04-11,1491767,788430,991468,1391931,1198180
04-12,2331420,143531,985410,205531,615044
04-13,1339065,995967,1278310,814508,1198180
04-14,1030556,995967,384607,1001102,1519452
04-15,231700,254730,985410,687977,1198180
04-16,1426416,2638605,1258045,257374,2634165
04-17,827492,100604,985410,19160,283743
04-18,204610,995967,1351086,577931,163541
04-19,37276,1167496,985410,1001102,3491295
04-20,1849481,616066,1006134,1139429,1401885
04-21,1030556,66000,328831,2110869,1050181
04-22,683531,405199,44367,550225,1198180
04-23,1677626,1434860,985410,681433,221970
04-24,879540,690751,985410,282935,1267286
04-25,18000,445393,985410,1001102,1198180
04-26,1030556,1034416,3791522,1303232,539478
04-27,425729,995967,807485,1219717,477336
04-28,353346,995967,985410,292517,843429
04-29,1492435,1970252,2068891,1001102,1527271
04-30,1794152,2101064,985410,1238210,1037837
05-01,986364,995967,985410,1001102,66795
05-02,1030556,1015588,2110999,1001102,2361155
05-03,893405,1277713,1300098,1001102,2183113
05-04,1030556,2828337,985410,228621,1811580
05-05,101725,391165,2064058,1001102,608008
05-06,1165063,1031023,2700232,1250466,762558
05-07,1030556,533203,102836,332753,1198180
05-08,446726,1389275,1504014,15876,250165
05-09,1226065,2524884,236003,2124476,1198180
05-10,556401,995967,139570,2700007,2708486
05-11,1679491,1805895,991281,346950,1198180
05-12,344526,995967,1783359,1001102,501138
05-13,1030556,1205260,985410,1001102,1198180
05-14,1635511,1689095,985410,1103407,100686
05-15,1457846,72452,80000,1001102,2582503
05-16,1030556,15000,1536693,2389491,1710925
05-17,1030556,424325,985410,1001102,1198180
05-18,618354,1035713,1618502,1001102,335345
05-19,1724855,995967,1700775,980163,1198180
05-20,32977,1269085,985410,502782,1172228
05-21,1152978,1797842,766116,797311,329540
05-22,1569985,324857,1932343,1001102,2225042
05-23,224529,995967,985410,160463,641067
05-24,1030556,2000530,985410,1709501,328220
05-25,1030556,47878,1354063,410375,273731
05-26,2481189,995967,1144446,1001102,179127
05-27,2591526,1505501,985410,1001102,1730231
05-28,1030556,1827491,318615,1636455,1198180
05-29,1030556,860585,985410,2204343,1198180
05-30,1286324,995967,153876,1305059,5734111
05-31,421774,1792161,1343077,1001102,816859
06-01,703570,995967,908810,558130,1198180
06-02,2787360,53877,102000,678089,1198180
06-03,2401072,995967,924133,649070,1198180
06-04,1627907,43000,233917,880693,732844
06-05,1030556,145803,1311267,1795806,1474452
06-06,534235,397894,807514,611210,666718
06-07,1360307,10374,328430,1213845,1198180
06-08,3598011,1593326,928276,1001102,2919146
06-09,1030556,826587,985410,445759,1198180
06-10,806997,33113,1239409,224683,2610859
06-11,1590813,105504,985410,196783,1060373
06-12,4835,916661,174263,1470461,33434
06-13,825046,995967,1735664,1001102,1198180
06-14,1030556,482812,985410,534095,2993596
06-15,1280016,1730771,1899715,911277,816956
06-16,154873,995967,985410,432767,102566
06-17,1030556,262391,37940,1062607,371839
06-18,376422,2339132,2215330,1309072,277098
06-19,2258137,86988,985410,1001102,1198180
06-20,206230,1123371,985410,1330509,2908700
06-21,1030556,525424,106262,1461574,475899
06-22,1587242,995967,1144069,1103883,583735
06-23,138000,995967,2170126,1367994,2111541
06-24,672380,1915380,625379,156025,1946630
06-25,580927,2079863,985410,390298,1198180
06-26,1522914,254017,985410,1001102,2068514
06-27,354151,668400,338816,794999,1198180
06-28,729882,2358632,985410,1001102,1198180
06-29,1030556,995967,1601478,1308869,1118273
06-30,491886,185672,1084148,1994199,545951
07-01,1030556,266878,1481618,341190,1986833
07-02,343929,995967,1063588,1519759,2386754
07-03,721862,995967,985410,753561,287116
07-04,635614,162940,223800,120809,1198180
07-05,1849462,1216573,985410,1001102,1572461
07-06,410929,1877885,470811,1001102,348147
07-07,1030556,517177,772192,644112,1198180
07-08,2271569,2634044,1191553,2014225,1198180
07-09,1466534,995967,2505064,2875213,205556
07-10,853516,1753099,1199043,1001102,2504648
07-11,265174,995967,241137,312693,7169
07-12,2101044,995967,985410,1001102,3012812
07-13,1030556,995967,975980,795646,441931
07-14,890793,995967,1963444,1877828,1198180
07-15,1384564,1245311,31752,1107547,26000
07-16,271203,1461359,705290,1001102,1198180
07-17,2128496,557998,985410,737021,1023180
07-18,1030556,1149233,985410,106877,1322027
07-19,1030556,1996587,985410,606083,579959
07-20,2087643,110000,415950,2777052,1556266
07-21,300786,948107,2623328,19200,1344181
07-22,1030556,390052,3059067,91510,48260
07-23,794480,14000,116627,1358221,1479618
07-24,1065470,474624,985410,91875,1198180
07-25,1427245,2541134,1378481,1224813,1720431
07-26,1030556,995967,985410,161947,1044105
07-27,15000,552862,195342,1007219,1071306
07-28,1030556,740463,1247923,302473,1198180
07-29,1595899,148413,145581,2405621,116000
07-30,181298,1516868,403387,1001102,1509348
07-31,1842774,1790659,786211,72050,46424
08-01,1504137,1939840,132474,613200,1292425
08-02,494192,248142,985410,153552,2701790
08-03,1030556,1688033,985410,1053242,518301
08-04,1030556,350293,452949,31752,1198180
08-05,1512319,1592203,985410,87319,73927
08-06,50991,995967,1715022,1258893,1304588
08-07,1141053,1744126,1327088,1001102,794796
08-08,249906,995967,1805132,694112,1982668
08-09,203621,646170,736976,1001102,1262948
08-10,183259,2136348,1312861,83000,1198180
08-11,1030556,1360447,2079704,154181,1589140
08-12,1030556,918005,149043,1001102,130337
08-13,250651,995967,1686456,1001102,1198180
08-14,2809531,1562233,985410,374371,1397685
08-15,182762,995967,81425,2250345,109140
08-16,1030556,2008845,1563185,254785,1000240
08-17,1490020,995967,985410,542978,2591653
08-18,1030556,167724,309225,1232847,1198180
08-19,545365,738924,985410,1767985,535954
08-20,229054,2152931,985410,263587,245116
08-21,144986,109699,2005251,1421332,1198180
08-22,105200,870185,1423800,922886,2347883
08-23,11532,2581136,445413,1001102,934059
08-24,1030556,995967,693932,323155,1767938
08-25,836328,266229,985410,799402,692267
08-26,78000,90277,789389,323623,1198180
08-27,983630,995967,46182,1001102,221047
08-28,787922,2088198,1517943,184925,1639211
08-29,113473,1371241,985410,1687704,1198180
08-30,1030556,1721775,274471,1001102,4243153
08-31,1581838,813114,2050034,1280352,1198180
09-01,835290,995967,985410,1001102,1198180
09-02,1452479,995967,985410,1001102,1198180
09-03,1127602,158098,708148,1222897,1982907
09-04,277265,2602408,985410,801358,1132502
09-05,283414,255446,972796,102292,2267886
09-06,1353565,995967,1954325,2300934,70083
09-07,840629,1857767,2006033,2031956,1694375
09-08,108200,995967,985410,1001102,1198180
09-09,400244,1233784,286188,925660,1198180
09-10,1917313,90000,985410,926953,678486
09-11,1617895,995967,77024,2768970,535008
09-12,654462,997333,1435168,367064,1145079
09-13,15000,995967,2126695,1262482,556929
09-14,1007291,1334077,324009,1850005,1198180
09-15,572486,701882,2621862,1389161,1198180
09-16,505107,924059,985410,414255,1198180
09-17,1545056,513579,985410,1001102,1697516
09-18,1697822,129518,441025,1001102,1198180
09-19,563507,908119,985410,825057,1759496
09-20,1030556,384294,985410,1243506,1562431
09-21,477958,979495,1321452,2961713,938942
09-22,316352,709874,2122983,621987,1198180
09-23,1030556,853624,414340,1001102,1198180
09-24,870680,1282206,92743,347056,1502601
09-25,3198049,61920,1417076,611149,496917
09-26,1030556,995967,985410,1853309,1198180
09-27,1030556,1877253,145319,1001102,2449697
09-28,936500,111977,345467,1336377,1198180
09-29,2420666,690574,1895615,2205453,1372961
09-30,38000,1077076,25002,1001102,1198180
10-01,1378525,995967,462707,1001102,2576140
10-02,1030556,995967,618867,2051000,1177883
10-03,448986,32531,2932800,396127,1198180
10-04,2719554,500886,397539,1001102,1347521
10-05,1030556,1727793,266169,1001102,887222
10-06,1030556,534194,219160,140492,1198180
10-07,1799338,336087,985410,1113275,253239
10-08,92929,577380,496805,2554997,399892
10-09,754418,995967,985410,1001102,1301113
10-10,406531,995967,1655854,1001102,1040320
10-11,1030556,995967,502113,1901362,3164532
10-12,1545985,1263175,390885,187610,1198180
10-13,1030556,900885,638239,190401,1198180
10-14,959612,2801771,1334916,1294739,1198180
10-15,1030556,995967,30000,1001102,1198180
10-16,2902543,995967,1465541,117895,1720179
10-17,1030556,995967,985410,1685168,789497
10-18,372810,1764841,89608,964895,1352002
10-19,467978,995967,1856334,1270703,1968600
10-20,1030556,337365,985410,1001102,1198180
10-21,727386,1232607,1384924,1520478,472053
10-22,1231810,1442428,985410,109161,323999
10-23,1882107,154999,81766,702053,692504
10-24,1030556,995967,985410,1206527,2678247
10-25,1030556,1220440,985410,1001102,1764542
10-26,630233,24000,2728328,1607445,1198180
10-27,1489303,984841,1390039,1432875,1198180
10-28,1030556,1331615,985410,28320,49881
10-29,2345779,1242249,40033,1001102,1048859
10-30,1590006,69450,985410,496914,2158821
10-31,1030556,995967,167759,2622446,1198180
11-01,1030556,1317508,985410,1163870,2776196
11-02,1030556,911443,1779630,555545,1068819
11-03,597719,1549416,110237,1001102,1198180
11-04,1030556,995967,985410,1001102,549580
11-05,685638,995967,856184,2894443,515414
11-06,1084752,1895321,289131,749747,749205
11-07,476374,249075,301669,1140349,1198180
11-08,53000,24000,1826925,215714,1877499
11-09,1823828,313454,985410,548946,631011
11-10,776127,798181,985410,738000,735571
11-11,669810,1769135,1303282,1001102,127226
11-12,45000,65554,345699,999768,263172
11-13,1030556,1443565,1195712,392751,1321624
11-14,1030556,31000,136145,400150,186143
11-15,76884,1911086,1246453,1599285,3334970
11-16,1488036,249889,1338890,1885526,1722214
11-17,788942,709253,178053,494876,1198180
11-18,1030556,1860922,985410,1001102,55000
11-19,1894887,1084605,353904,36316,766455
11-20,979633,196508,985410,1001102,977132
11-21,409356,995967,223948,2423678,1451698
11-22,1030556,926905,1492144,1415482,63754
11-23,982438,995967,740304,1507256,2415260
11-24,673080,1367013,985410,1616300,1198180
11-25,1030556,761752,410993,1001102,57765
11-26,1412139,1072610,1403657,1001102,216931
11-27,1894303,402778,985410,1001102,541469
11-28,1030556,119302,19200,414573,929854
11-29,232468,1375245,1182522,1791887,3127228
11-30,2113886,15000,1645897,2049082,1025531
12-01,1843619,995967,139500,1001102,55305
12-02,809940,9000,1553751,110608,643685
12-03,694473,2017247,382568,2581756,414578
12-04,467960,1795842,985410,1530076,1140472
12-05,1182186,409224,1842527,77185,1573210
12-06,1551718,186283,985410,193758,2006936
12-07,1030556,588744,1147598,1001102,1092071
12-08,2085781,899322,257842,451476,1198180
12-09,16914,728628,39000,1001102,109718
12-10,2070899,995967,406871,4125467,658817
12-11,1940027,882100,859360,142092,917003
12-12,227062,109222,1728747,1942264,299712
12-13,1577389,976204,985410,542694,1198180
12-14,1658727,995967,232187,3466336,383748
12-15,1030556,170426,244856,887390,3488779
12-16,1030556,3601666,967871,1001102,54200
12-17,1530251,995967,751870,1001102,1157229
12-18,1765062,285767,985410,1001102,410130
12-19,174369,995967,2185577,617646,1363541
12-20,1030556,666645,179996,149415,1198180
12-21,1241728,511703,391474,1957493,2467849
12-22,594721,995967,248608,1574834,1198180
12-23,1030556,1871252,1462512,1001102,82256
12-24,3122642,117747,606878,1224472,1198180
12-25,103044,253650,959254,1004549,1086993
12-26,1030556,2004698,1433966,1001102,1408096
12-27,125924,643626,985410,2648166,1669346
12-28,2477337,995967,3430383,1001102,1113987
12-29,1030556,392141,985410,966369,278274
12-30,1030556,1054901,134188,178873,416466
12-31,903441,1088381,985410,1001102,1218553